performerId,name,shortName,type,performer_score,performer_popularity,homeVenueId,isEvent,divisionName,divisionShortName,taxonomyName,taxonomySubName,performer_popularity_level,has_home_venue
800223,Colombia Baseball,Colombia Baseball,baseball,0.58,13227,Unknown,False,No Division,No Division,sports,baseball,Medium,0
800224,Puerto Rico Baseball,Puerto Rico Baseball,baseball,0.68,67104,Unknown,False,No Division,No Division,sports,baseball,Medium,0
800227,Israel Baseball,Israel Baseball,baseball,0.63,125032,Unknown,False,No Division,No Division,sports,baseball,High,0
802196,Cuba Baseball,Cuba Baseball,baseball,0.6,19500,Unknown,False,No Division,No Division,sports,baseball,Medium,0
806247,Nicaragua Baseball,Nicaragua Baseball,baseball,0.67,311276,Unknown,False,No Division,No Division,sports,baseball,High,0
806248,Panama Baseball,Panama Baseball,baseball,0.57,29187,Unknown,False,No Division,No Division,sports,baseball,Medium,0
800221,Canada Baseball,Canada Baseball,baseball,0.57,20910,Unknown,False,No Division,No Division,sports,baseball,Medium,0
608253,Mexico Baseball,Mexico Baseball,baseball,0.76,829290,Unknown,False,No Division,No Division,sports,baseball,Elite,0
1967457,Brazil Baseball,Brazil Baseball,baseball,0.67,170770,Unknown,False,No Division,No Division,sports,baseball,High,0
1957489,Netherlands Baseball,Netherlands Baseball,baseball,0.65,191090,Unknown,False,No Division,No Division,sports,baseball,High,0
1957488,Italy Baseball,Italy Baseball,baseball,0.62,73984,Unknown,False,No Division,No Division,sports,baseball,Medium,0
1957487,Great Britain Baseball,Great Britain Baseball,baseball,0.68,171064,Unknown,False,No Division,No Division,sports,baseball,High,0
10620,USA Baseball,USA Baseball,baseball,0.77,880096,Unknown,False,No Division,No Division,sports,baseball,Elite,0
808957,Gold Rush Super Nationals,Gold Rush Super Nationals,nfl,0.64,9618,Unknown,True,No Division,No Division,sports,football,Medium,0
9574,Minnesota Golden Gophers Baseball,Minnesota Golden Gophers Baseball,ncaa_baseball,0.38,2572,207417.0,False,No Division,No Division,sports,baseball,Low,1
13955,Northeastern Huskies Baseball,Northeastern Huskies Baseball,ncaa_baseball,0.58,24688,Unknown,False,No Division,No Division,sports,baseball,Medium,0
798921,NBA All-Star Game,NBA All-Star Game,nba,0.7,108326,Unknown,True,No Division,No Division,sports,basketball,High,0
107742,NBA All-Star Saturday Night,NBA All-Star Saturday Night,nba,0.73,58962,Unknown,True,No Division,No Division,sports,basketball,Medium,0
302351,NBA All Star Celebrity Game,NBA All Star Celebrity Game,nba,0.66,13523,Unknown,True,No Division,No Division,sports,basketball,Medium,0
302352,NBA All Star Rising Stars Challenge,NBA All Star Rising Stars Challenge,nba,0.62,9565,Unknown,True,No Division,No Division,sports,basketball,Medium,0
800993,NBA HBCU Classic,NBA HBCU Classic,nba,0.47,1197,Unknown,True,No Division,No Division,sports,basketball,Low,0
11591,Super Bowl,Super Bowl,nfl,0.99,6045158,128.0,True,No Division,No Division,sports,football,Elite,1
616548,Bad Bunny,Bad Bunny,band,0.84,6045158,Unknown,False,No Division,No Division,concert,concert,Elite,0
793008,NFL Playoffs,NFL Playoffs,nfl,0.88,6045158,Unknown,True,No Division,No Division,sports,football,Elite,0
13474,NFC Championship Game,NFC Championship Game,nfl,0.88,258635,Unknown,True,No Division,No Division,sports,football,High,0
14051,AFC Championship,AFC Championship,nfl,0.9,402972,Unknown,True,No Division,No Division,sports,football,High,0
793006,NFC Divisional Round,NFC Divisional Round,nfl,0.85,377558,Unknown,True,No Division,No Division,sports,football,High,0
792983,AFC Divisional,AFC Divisional,nfl,0.84,515086,Unknown,True,No Division,No Division,sports,football,High,0
792984,AFC Wild Card,AFC Wild Card,nfl,0.83,100891,Unknown,True,No Division,No Division,sports,football,High,0
793007,NFC Wild Card Game,NFC Wild Card Game,nfl,0.86,208400,Unknown,True,No Division,No Division,sports,football,High,0
1964761,Chicago Bears Tailgates,Chicago Bears Tailgates,nfl,0.33,3,Unknown,True,No Division,No Division,sports,football,Low,0
1964762,Denver Broncos Tailgates,Denver Broncos Tailgates,nfl,0.39,488,Unknown,True,No Division,No Division,sports,football,Low,0
1964763,Minnesota Vikings Tailgates,Minnesota Vikings Tailgates,nfl,0.3,73,Unknown,True,No Division,No Division,sports,football,Low,0
1964764,Pittsburgh Steelers Tailgates,Pittsburgh Steelers Tailgates,nfl,0.3,101,Unknown,True,No Division,No Division,sports,football,Low,0
1964765,Tampa Bay Buccaneers Tailgates,Tampa Bay Buccaneers Tailgates,nfl,0.39,550,Unknown,True,No Division,No Division,sports,football,Low,0
1964947,Tennessee Titans Tailgates,Tennessee Titans Tailgates,nfl,0.39,36,1609404.0,False,No Division,No Division,sports,football,Low,1
